,Datetime,ITM,Product,Instrument,B/S,Price,FillQty,multilegreportingtype,TTOrderId,FirstLeg,SecondLeg,Structure,Algo,Tag,Parent_tag,Parent_firstleg,Tenore,start,id,Hedged,Final_Index
14153,2022-03-01 11:39:16.130,VSI,I,I Mar22,Buy,100.515,1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,Gag7emyvmPPFFf87dkweXd,,I Mar22
14154,2022-03-01 11:39:16.130,VSI,I,I Apr22,Sell,100.495,-1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,79C6VexU47aAhjNwPenXxB,,I Apr22
14155,2022-03-01 11:39:16.133,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,1,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,Hi9JpmijZxtEkEl81qmWrt,,I Mar22
14156,2022-03-01 11:39:16.133,VSI,I,I Mar22,Buy,100.515,1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,2Vz8iu6z7v060HDdEgi1C0,,I Mar22
14157,2022-03-01 11:39:16.133,VSI,I,I Apr22,Sell,100.495,-1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,6ya3udAqU8b5bMn2Avvy9L,,I Apr22
14158,2022-03-01 11:39:16.143,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,2,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,7K352YHrAjp8in7GrxuTHx,,I Mar22
14159,2022-03-01 11:39:16.143,VSI,I,I Mar22,Buy,100.515,2,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,LpOuXA3ViRAIenAwqeYH3i,,I Mar22
14160,2022-03-01 11:39:16.143,VSI,I,I Apr22,Sell,100.495,-2,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,Kt6k5WuYHbHLXZO2AsG3lO,,I Apr22
14161,2022-03-01 11:39:16.147,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,2,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,2VyOleqMJNaDCJCgPeRqBG,,I Mar22
14162,2022-03-01 11:39:16.147,VSI,I,I Mar22,Buy,100.515,2,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,8GSOx1i3uJ74rgZ8cJNuEG,,I Mar22
14163,2022-03-01 11:39:16.147,VSI,I,I Apr22,Sell,100.495,-2,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,740FlcepGbaJSyGfKubneU,,I Apr22
14164,2022-03-01 11:39:16.167,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,2,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,KXhWCwclDD4BYActs5ZrIe,,I Mar22
14165,2022-03-01 11:39:16.167,VSI,I,I Mar22,Buy,100.515,2,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,6Cq8dmgpVViLy9tTCqElSZ,,I Mar22
14166,2022-03-01 11:39:16.167,VSI,I,I Apr22,Sell,100.495,-2,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,IOWzhnlwhXQ54hjKN4KIrZ,,I Apr22
14167,2022-03-01 11:39:16.177,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,3,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,IeZQfpPfxH5HAhSwN9B3i7,,I Mar22
14168,2022-03-01 11:39:16.177,VSI,I,I Mar22,Buy,100.515,3,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,HxrPPuz7gs6CKUTDVMGQE6,,I Mar22
14169,2022-03-01 11:39:16.177,VSI,I,I Apr22,Sell,100.495,-3,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,A4QTHm7hTLp46JY68ugJ2x,,I Apr22
14170,2022-03-01 11:39:16.177,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,1,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,9ti6eCRpu6vCVgAWJReQPA,,I Mar22
14171,2022-03-01 11:39:16.177,VSI,I,I Mar22,Buy,100.515,1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,K6wJ9qA43he4feHMVy2Xge,,I Mar22
14172,2022-03-01 11:39:16.177,VSI,I,I Apr22,Sell,100.495,-1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,2563sNhr3oMOWnDR5VdcS,,I Apr22
14173,2022-03-01 11:39:16.190,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,1,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,3XoxH3U3JJp6hFYlXMyXOd,,I Mar22
